카테고리,페이지,상품명,브랜드,가격,링크,이미지 경로,이미지 URL
여성 > 의류 > 니트웨어,1,"제너럴아이디어
WOMAN 텐셀 카라 레이어드 하프 풀오버 [BLACK] / WBE2L05533
29%
36,900
쿠폰
4,044
4.9 (39)",제너럴아이디어,"제너럴아이디어
WOMAN 텐셀 카라 레이어드 하프 풀오버 [BLACK] / WBE2L05533",https://product.29cm.co.kr/catalog/3167970?colors=&categoryLargeCode=268100100&categoryMediumCode=268105100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/제너럴아이디어/제너럴아이디어WOMAN_텐셀_카라_레이어드_하프_풀오버_BLACK__WBE2L0553329.png,https://img.29cm.co.kr/item/202504/11f020eb55e6ae3db170757d60143d19.png?width=400&format=webp
여성 > 의류 > 니트웨어,1,"오버듀플레어
SOFT MINI CARDIGAN_MELANGE GREY
24%
52,785
쿠폰
10,105
4.5 (617)",오버듀플레어,"오버듀플레어
SOFT MINI CARDIGAN_MELANGE GREY",https://product.29cm.co.kr/catalog/2604779?colors=&categoryLargeCode=268100100&categoryMediumCode=268105100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/오버듀플레어/오버듀플레어SOFT_MINI_CARDIGAN_MELANGE_GREY2452785쿠폰1010.jpg,https://img.29cm.co.kr/item/202404/11ef00743830e73c9367290f7c02c7ec.jpg?width=400&format=webp
여성 > 의류 > 니트웨어,1,"로우
[9th_6/10 예약배송] Leau linen sweatshirt_melange grey
75,000
5,645
4.7 (167)",로우,"로우
[9th_6/10 예약배송] Leau linen sweatshirt_melange grey",https://product.29cm.co.kr/catalog/2618667?colors=&categoryLargeCode=268100100&categoryMediumCode=268105100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/로우/로우9th_610_예약배송_Leau_linen_sweatshirt_melange_grey7.jpg,https://img.29cm.co.kr/item/202407/11ef39a04e0f70d3aad2e177d63419c6.jpg?width=400&format=webp
여성 > 의류 > 니트웨어,1,"레더리
어블룸 린넨 니트 가디건 [GREY]
10%
53,100
무료배송
5,635
4.8 (105)",레더리,"레더리
어블룸 린넨 니트 가디건 [GREY]",https://product.29cm.co.kr/catalog/3041658?colors=&categoryLargeCode=268100100&categoryMediumCode=268105100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/레더리/레더리어블룸_린넨_니트_가디건_GREY1053100무료배송56354.8_105.jpg,https://img.29cm.co.kr/item/202501/11efd967a9f4186385219b0db47be9a3.jpg?width=400&format=webp
여성 > 의류 > 니트웨어,1,"포터리
Short Sleeve Comfort Polo Knit - 24 Color
159,000
무료배송
3,017
5 (214)",포터리,"포터리
Short Sleeve Comfort Polo Knit - 24 Color",https://product.29cm.co.kr/catalog/2567124?colors=&categoryLargeCode=268100100&categoryMediumCode=268105100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/포터리/포터리Short_Sleeve_Comfort_Polo_Knit_-_24_Color159000.jpg,https://img.29cm.co.kr/item/202505/11f0307de321beddb1708f5bbb83e34e.jpg?width=400&format=webp
여성 > 의류 > 니트웨어,1,"하네
시어 리브드 가디건 6Color
28%
43,200
쿠폰
3,361
4.7 (71)",하네,"하네
시어 리브드 가디건 6Color",https://product.29cm.co.kr/catalog/3145952?colors=&categoryLargeCode=268100100&categoryMediumCode=268105100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/하네/하네시어_리브드_가디건_6Color2843200쿠폰33614.7_71.jpg,https://img.29cm.co.kr/item/202504/11f01febf0a86a42b131eb9c4c12f913.jpg?width=400&format=webp
여성 > 의류 > 니트웨어,1,"제너럴아이디어
WOMAN 텐셀 카라 레이어드 하프 가디건 [BLACK] / WBE2L04534
29%
39,600
쿠폰
1,663
4.8 (28)",제너럴아이디어,"제너럴아이디어
WOMAN 텐셀 카라 레이어드 하프 가디건 [BLACK] / WBE2L04534",https://product.29cm.co.kr/catalog/3202475?colors=&categoryLargeCode=268100100&categoryMediumCode=268105100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/제너럴아이디어/제너럴아이디어WOMAN_텐셀_카라_레이어드_하프_가디건_BLACK__WBE2L0453429.png,https://img.29cm.co.kr/item/202505/11f02ae8f790dae48930b35688e1bb45.png?width=400&format=webp
여성 > 의류 > 니트웨어,1,"레더리
어블룸 린넨 니트 가디건 [OATMEAL]
10%
53,100
무료배송
6,604
4.7 (132)",레더리,"레더리
어블룸 린넨 니트 가디건 [OATMEAL]",https://product.29cm.co.kr/catalog/3041657?colors=&categoryLargeCode=268100100&categoryMediumCode=268105100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/레더리/레더리어블룸_린넨_니트_가디건_OATMEAL1053100무료배송66044.7_132.jpg,https://img.29cm.co.kr/item/202501/11efd96793c896af8521b5a6aab766a0.jpg?width=400&format=webp
여성 > 의류 > 니트웨어,1,"파사드패턴
[일부옵션 6차 7/8예약배송] 코튼 보트넥 니트_ivory
168,000
3,441
4.9 (73)",파사드패턴,"파사드패턴
[일부옵션 6차 7/8예약배송] 코튼 보트넥 니트_ivory",https://product.29cm.co.kr/catalog/3113589?colors=&categoryLargeCode=268100100&categoryMediumCode=268105100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/파사드패턴/파사드패턴일부옵션_6차_78예약배송_코튼_보트넥_니트_ivory16800034414.9_7.jpg,https://img.29cm.co.kr/item/202503/11eff9948e5f706bacea65bc597b0d56.jpg?width=400&format=webp
여성 > 의류 > 니트웨어,1,"오버듀플레어
SOFT MINI CARDIGAN_BLACK
10%
62,100
552
5 (9)",오버듀플레어,"오버듀플레어
SOFT MINI CARDIGAN_BLACK",https://product.29cm.co.kr/catalog/3295456?colors=&categoryLargeCode=268100100&categoryMediumCode=268105100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/오버듀플레어/오버듀플레어SOFT_MINI_CARDIGAN_BLACK10621005525_9.jpg,https://img.29cm.co.kr/item/202505/11f036e117dc7292898a85fce2a841c2.jpg?width=400&format=webp
