카테고리,페이지,상품명,브랜드,가격,링크,이미지 경로,이미지 URL
여성 > 의류 > 바지,1,"오버듀플레어
COTTON SHEER PANTS_BLACK
10%
98,100
1,301
4.9 (9)",오버듀플레어,"오버듀플레어
COTTON SHEER PANTS_BLACK",https://product.29cm.co.kr/catalog/3295468?colors=&categoryLargeCode=268100100&categoryMediumCode=268106100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/오버듀플레어/오버듀플레어COTTON_SHEER_PANTS_BLACK109810013014.9_9.jpg,https://img.29cm.co.kr/item/202505/11f03dc294bfc1b397750bef4946f9e1.jpg?width=400&format=webp
여성 > 의류 > 바지,1,"호쿠스포쿠스
20차_6월5일 예약배송_Air mesh track pants / Navy
10%
85,500
쿠폰
무료배송
5,027
4.7 (71)",호쿠스포쿠스,"호쿠스포쿠스
20차_6월5일 예약배송_Air mesh track pants / Navy",https://product.29cm.co.kr/catalog/2729326?colors=&categoryLargeCode=268100100&categoryMediumCode=268106100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/호쿠스포쿠스/호쿠스포쿠스20차_6월5일_예약배송_Air_mesh_track_pants__Navy1085.jpg,https://img.29cm.co.kr/item/202505/11f03130e129ce6bb170bd21e6b437b1.jpg?width=400&format=webp
여성 > 의류 > 바지,1,"르바
[4차] Eyelet Lace Layered Pants - Black (기장선택)
10%
89,100
3,018
4.8 (30)",르바,"르바
[4차] Eyelet Lace Layered Pants - Black (기장선택)",https://product.29cm.co.kr/catalog/3233698?colors=&categoryLargeCode=268100100&categoryMediumCode=268106100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/르바/르바4차_Eyelet_Lace_Layered_Pants_-_Black_기장선택1089100.jpg,https://img.29cm.co.kr/item/202504/11f01f1bf6622340b1319fb228ea3d96.jpg?width=400&format=webp
여성 > 의류 > 바지,1,"코어드
[29CM 단독][14차][기장선택] Classic cotton slacks (navy)
104,000
15,510
4.8 (197)",코어드,"코어드
[29CM 단독][14차][기장선택] Classic cotton slacks (navy)",https://product.29cm.co.kr/catalog/3085366?colors=&categoryLargeCode=268100100&categoryMediumCode=268106100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/코어드/코어드29CM_단독14차기장선택_Classic_cotton_slacks_navy104000.jpg,https://img.29cm.co.kr/item/202502/11eff437b02a85b48b63a73639cc1da5.jpg?width=400&format=webp
여성 > 의류 > 바지,1,"코어드
[25차/예약배송][기장선택] Nonfade pintuck denim (raw denim)
118,000
26,072
4.8 (931)",코어드,"코어드
[25차/예약배송][기장선택] Nonfade pintuck denim (raw denim)",https://product.29cm.co.kr/catalog/2672471?colors=&categoryLargeCode=268100100&categoryMediumCode=268106100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/코어드/코어드25차예약배송기장선택_Nonfade_pintuck_denim_raw_denim1180.jpg,https://img.29cm.co.kr/item/202411/11efaba10f5cd0999316459f0ec79b97.jpg?width=400&format=webp
여성 > 의류 > 바지,1,"론론
BACK HEART STITCH POCKET BANDING PANTS BLACK
15%
65,835
쿠폰
무료배송
12,125
4.7 (275)",론론,"론론
BACK HEART STITCH POCKET BANDING PANTS BLACK",https://product.29cm.co.kr/catalog/2651620?colors=&categoryLargeCode=268100100&categoryMediumCode=268106100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/론론/론론BACK_HEART_STITCH_POCKET_BANDING_PANTS_BLACK1565.jpg,https://img.29cm.co.kr/item/202405/11ef1b4d8b7b73dbbb1477437a300b44.jpg?width=400&format=webp
여성 > 의류 > 바지,1,"튜드먼트
[3차]_[김나영 착용] CIGARETTE CAPRI PANTS (BLACK)
19%
79,942
쿠폰
무료배송
6,597
4.6 (342)",튜드먼트,"튜드먼트
[3차]_[김나영 착용] CIGARETTE CAPRI PANTS (BLACK)",https://product.29cm.co.kr/catalog/2442739?colors=&categoryLargeCode=268100100&categoryMediumCode=268106100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/튜드먼트/튜드먼트3차_김나영_착용_CIGARETTE_CAPRI_PANTS_BLACK1979942쿠폰.jpg,https://img.29cm.co.kr/item/202505/11f03ac5f9dc7c019775c7ead2dc0ac5.jpg?width=400&format=webp
여성 > 의류 > 바지,1,"유라고
[14차 리오더][기장선택] Comfort string pants_2colors
99,000
21,158
4.5 (1,380)",유라고,"유라고
[14차 리오더][기장선택] Comfort string pants_2colors",https://product.29cm.co.kr/catalog/1991048?colors=&categoryLargeCode=268100100&categoryMediumCode=268106100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/유라고/유라고14차_리오더기장선택_Comfort_string_pants_2colors9900021.jpg,https://img.29cm.co.kr/item/202405/11ef0e6157499011bb14ad795fc6372d.jpg?width=400&format=webp
여성 > 의류 > 바지,1,"포 유어 아이즈 온리
[8차] Clea Capri Pants (Black)
5%
121,600
5,385
4.7 (293)",포,"포 유어 아이즈 온리
[8차] Clea Capri Pants (Black)",https://product.29cm.co.kr/catalog/3067469?colors=&categoryLargeCode=268100100&categoryMediumCode=268106100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/포/포_유어_아이즈_온리8차_Clea_Capri_Pants_Black512160053854.7.jpg,https://img.29cm.co.kr/item/202504/11f0167ccc05c052b1318db2b3c2f8d2.jpg?width=400&format=webp
여성 > 의류 > 바지,1,"던스트
RELAXED SUMMER DENIM PANTS LIGHT BLUE_UDPA5B223B1
5%
103,550
3,435
4.8 (45)",던스트,"던스트
RELAXED SUMMER DENIM PANTS LIGHT BLUE_UDPA5B223B1",https://product.29cm.co.kr/catalog/3142678?colors=&categoryLargeCode=268100100&categoryMediumCode=268106100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/던스트/던스트RELAXED_SUMMER_DENIM_PANTS_LIGHT_BLUE_UDPA5B223.jpg,https://img.29cm.co.kr/item/202503/11f0061d6cc54093b9e6192a4245ec0b.jpg?width=400&format=webp
여성 > 의류 > 바지,1,"하네
[기장선택]에센셜 린넨 팬츠 7Color
28%
57,600
쿠폰
1,652
5 (10)",하네,"하네
[기장선택]에센셜 린넨 팬츠 7Color",https://product.29cm.co.kr/catalog/3266766?colors=&categoryLargeCode=268100100&categoryMediumCode=268106100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/하네/하네기장선택에센셜_린넨_팬츠_7Color2857600쿠폰16525_10.jpg,https://img.29cm.co.kr/item/202505/11f031678dab472e8930dba57f33951d.jpg?width=400&format=webp
여성 > 의류 > 바지,1,"론론
BACK HEART STITCH POCKET BANDING PANTS WHITE
15%
65,835
쿠폰
무료배송
7,474
4.5 (263)",론론,"론론
BACK HEART STITCH POCKET BANDING PANTS WHITE",https://product.29cm.co.kr/catalog/2651629?colors=&categoryLargeCode=268100100&categoryMediumCode=268106100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/론론/론론BACK_HEART_STITCH_POCKET_BANDING_PANTS_WHITE1565.jpg,https://img.29cm.co.kr/item/202405/11ef1a8b791f5f7e892b2d9cf159306b.jpg?width=400&format=webp
여성 > 의류 > 바지,1,"코드그라피
[2PACK] [스트링 OR 카고 선택] 쿨 나일론 팬츠_7COLOR
59%
39,900
무료배송
1,461
4.8 (84)",코드그라피,"코드그라피
[2PACK] [스트링 OR 카고 선택] 쿨 나일론 팬츠_7COLOR",https://product.29cm.co.kr/catalog/2565299?colors=&categoryLargeCode=268100100&categoryMediumCode=268106100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/코드그라피/코드그라피2PACK_스트링_OR_카고_선택_쿨_나일론_팬츠_7COLOR5939900무료배송.jpg,https://img.29cm.co.kr/item/202504/11f019bc1c14daa0b13149113e00f1e8.jpg?width=400&format=webp
여성 > 의류 > 바지,1,"하네
[기장선택]에센셜 린넨 팬츠_Moon Navy
24%
60,800
쿠폰
1,366
5 (2)",하네,"하네
[기장선택]에센셜 린넨 팬츠_Moon Navy",https://product.29cm.co.kr/catalog/3266768?colors=&categoryLargeCode=268100100&categoryMediumCode=268106100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/하네/하네기장선택에센셜_린넨_팬츠_Moon_Navy2460800쿠폰13665_2.jpg,https://img.29cm.co.kr/item/202505/11f030c0328a3e088930a1329cc8b1b2.jpg?width=400&format=webp
여성 > 의류 > 바지,1,"코어드
[7차/예약배송] [기장선택] Washed loose denim (light blue)
115,000
6,126
4.8 (114)",코어드,"코어드
[7차/예약배송] [기장선택] Washed loose denim (light blue)",https://product.29cm.co.kr/catalog/3175838?colors=&categoryLargeCode=268100100&categoryMediumCode=268106100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/코어드/코어드7차예약배송_기장선택_Washed_loose_denim_light_blue115000.jpg,https://img.29cm.co.kr/item/202503/11f00cb7f9d046438e7b55fd2582f4b2.jpg?width=400&format=webp
여성 > 의류 > 바지,1,"부디무드라
[BEST] Diagonal jogger pants (Unisex)_11 Colors
95,000
2,784
4.8 (760)",부디무드라,"부디무드라
[BEST] Diagonal jogger pants (Unisex)_11 Colors",https://product.29cm.co.kr/catalog/2588863?colors=&categoryLargeCode=268100100&categoryMediumCode=268106100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/부디무드라/부디무드라BEST_Diagonal_jogger_pants_Unisex_11_Colors95.jpg,https://img.29cm.co.kr/item/202505/11f0376ec0021f8c898a1dffdaec36db.jpg?width=400&format=webp
여성 > 의류 > 바지,1,"르바
[2차] Classic Staple Denim Shorts - Stone Navy
10%
80,100
2,118
4.5 (43)",르바,"르바
[2차] Classic Staple Denim Shorts - Stone Navy",https://product.29cm.co.kr/catalog/3231989?colors=&categoryLargeCode=268100100&categoryMediumCode=268106100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/르바/르바2차_Classic_Staple_Denim_Shorts_-_Stone_Navy10801.jpg,https://img.29cm.co.kr/item/202504/11f01f1a1f3ff058b1316f3712584b76.jpg?width=400&format=webp
여성 > 의류 > 바지,1,"던스트
RELAXED SUMMER DENIM PANTS INDIGO BLUE_UDPA5B223N3
5%
103,550
2,399
4.7 (68)",던스트,"던스트
RELAXED SUMMER DENIM PANTS INDIGO BLUE_UDPA5B223N3",https://product.29cm.co.kr/catalog/3142676?colors=&categoryLargeCode=268100100&categoryMediumCode=268106100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/던스트/던스트RELAXED_SUMMER_DENIM_PANTS_INDIGO_BLUE_UDPA5B22.jpg,https://img.29cm.co.kr/next-product/2025/03/21/9cc091a17f0a46a0a3fdab9802106ebe_20250321131222.jpg?width=400&format=webp
여성 > 의류 > 바지,1,"론론
BACK HEART STITCH POCKET BANDING PANTS SOFT BLUE
15%
65,835
쿠폰
무료배송
5,466
4.8 (116)",론론,"론론
BACK HEART STITCH POCKET BANDING PANTS SOFT BLUE",https://product.29cm.co.kr/catalog/2651626?colors=&categoryLargeCode=268100100&categoryMediumCode=268106100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/론론/론론BACK_HEART_STITCH_POCKET_BANDING_PANTS_SOFT_BLUE.jpg,https://img.29cm.co.kr/item/202406/11ef2d16c4479263bb14e79b71e03f55.jpg?width=400&format=webp
여성 > 의류 > 바지,1,"비터셀즈
[은채PICK] Mary Jersey Lace Shorts-Red
10%
39,600
무료배송
2,792
4.5 (34)",비터셀즈,"비터셀즈
[은채PICK] Mary Jersey Lace Shorts-Red",https://product.29cm.co.kr/catalog/3114616?colors=&categoryLargeCode=268100100&categoryMediumCode=268106100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/비터셀즈/비터셀즈은채PICK_Mary_Jersey_Lace_Shorts-Red1039600무료배송2.jpg,https://img.29cm.co.kr/item/202503/11f00b69d02e92b58e7b65bb59767a9e.jpg?width=400&format=webp
여성 > 의류 > 바지,1,"맥우드건
버나드 7907 카펜터 버뮤다 미디움인디고 쇼츠팬츠
30%
53,200
무료배송
16,558
4.8 (941)",맥우드건,"맥우드건
버나드 7907 카펜터 버뮤다 미디움인디고 쇼츠팬츠",https://product.29cm.co.kr/catalog/2059507?colors=&categoryLargeCode=268100100&categoryMediumCode=268106100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/맥우드건/맥우드건버나드_7907_카펜터_버뮤다_미디움인디고_쇼츠팬츠3053200무료배송165584..jpg,https://img.29cm.co.kr/next-product/2023/05/08/eb41c1fbeff7460e88845684b8650caa_20230508160718.jpg?width=400&format=webp
여성 > 의류 > 바지,1,"유라고
[9차 리오더] Flower pattern shorts_2colors
52,000
11,325
4.8 (433)",유라고,"유라고
[9차 리오더] Flower pattern shorts_2colors",https://product.29cm.co.kr/catalog/2624482?colors=&categoryLargeCode=268100100&categoryMediumCode=268106100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/유라고/유라고9차_리오더_Flower_pattern_shorts_2colors52000113254.jpg,https://img.29cm.co.kr/item/202405/11ef1efa45d2ba29b9bbc15eac8fde06.jpg?width=400&format=webp
여성 > 의류 > 바지,1,"맥우드건
파번 4405 더블니 카펜터 와이드핏 스톤 팬츠
30%
64,400
무료배송
19,829
5 (277)",맥우드건,"맥우드건
파번 4405 더블니 카펜터 와이드핏 스톤 팬츠",https://product.29cm.co.kr/catalog/2510266?colors=&categoryLargeCode=268100100&categoryMediumCode=268106100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/맥우드건/맥우드건파번_4405_더블니_카펜터_와이드핏_스톤_팬츠3064400무료배송198295_27.jpg,https://img.29cm.co.kr/item/202403/11eed9ebad466ebc91a5fb3ddbf6499c.jpg?width=400&format=webp
여성 > 의류 > 바지,1,"베뉴엣
Bonnie Wrap Pants_Black
105,000
1,153
4.5 (40)",베뉴엣,"베뉴엣
Bonnie Wrap Pants_Black",https://product.29cm.co.kr/catalog/3222689?colors=&categoryLargeCode=268100100&categoryMediumCode=268106100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/베뉴엣/베뉴엣Bonnie_Wrap_Pants_Black10500011534.5_40.jpg,https://img.29cm.co.kr/item/202504/11f01b5277ed16ddb170218e275f9635.jpg?width=400&format=webp
여성 > 의류 > 바지,1,"몽돌
시그니처 코튼 숏 팬츠 MDPT052_6 Colors
20%
35,100
쿠폰
무료배송
10,891
4.5 (607)",몽돌,"몽돌
시그니처 코튼 숏 팬츠 MDPT052_6 Colors",https://product.29cm.co.kr/catalog/2530940?colors=&categoryLargeCode=268100100&categoryMediumCode=268106100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/몽돌/몽돌시그니처_코튼_숏_팬츠_MDPT052_6_Colors2035100쿠폰무료배송108914.jpg,https://img.29cm.co.kr/item/202504/11f01b2830d82aa8b131d1fa654f3d49.jpg?width=400&format=webp
여성 > 의류 > 바지,1,"코어드
[29CM 단독][14차][기장선택] Classic cotton slacks (beige)
104,000
14,531
4.8 (336)",코어드,"코어드
[29CM 단독][14차][기장선택] Classic cotton slacks (beige)",https://product.29cm.co.kr/catalog/3085362?colors=&categoryLargeCode=268100100&categoryMediumCode=268106100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/코어드/코어드29CM_단독14차기장선택_Classic_cotton_slacks_beige10400.jpg,https://img.29cm.co.kr/item/202502/11eff42eb1bea8fe8b635d965787555a.jpg?width=400&format=webp
