카테고리,페이지,상품명,브랜드,가격,링크,이미지 경로,이미지 URL
여성 > 의류 > 셋업,1,"하네
[셋업 선택] 이모셔널 레이스 후디 5Color
34%
55,100
쿠폰
11,675
4.8 (115)",하네,"하네
[셋업 선택] 이모셔널 레이스 후디 5Color",https://product.29cm.co.kr/catalog/3145890?colors=&categoryLargeCode=268100100&categoryMediumCode=268117100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/하네/하네셋업_선택_이모셔널_레이스_후디_5Color3455100쿠폰116754.8_115.jpg,https://img.29cm.co.kr/item/202504/11f01b5504d3ba6bb170b32ebcf018f4.jpg?width=400&format=webp
여성 > 의류 > 셋업,1,"마리떼 프랑소와 저버
W TERRY SET-UP ivory
10%
89,100
342
4 (3)",마리떼,"마리떼 프랑소와 저버
W TERRY SET-UP ivory",https://product.29cm.co.kr/catalog/3162326?colors=&categoryLargeCode=268100100&categoryMediumCode=268117100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/마리떼/마리떼_프랑소와_저버W_TERRY_SET-UP_ivory10891003424_3.jpg,https://img.29cm.co.kr/next-product/2025/03/26/d81a2ecccd6e451599bc0f445072f4f3_20250326154503.jpg?width=400&format=webp
여성 > 의류 > 셋업,1,"마리떼 프랑소와 저버
W TERRY SET-UP navy
10%
89,100
197
5 (3)",마리떼,"마리떼 프랑소와 저버
W TERRY SET-UP navy",https://product.29cm.co.kr/catalog/3162325?colors=&categoryLargeCode=268100100&categoryMediumCode=268117100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/마리떼/마리떼_프랑소와_저버W_TERRY_SET-UP_navy10891001975_3.jpg,https://img.29cm.co.kr/next-product/2025/03/26/e16215d0db344e04886bcfc8b58fe84c_20250326154515.jpg?width=400&format=webp
여성 > 의류 > 셋업,1,"어라운드율
[SET] 부클 브이 세트_2color
5%
245,100
98
5 (6)",어라운드율,"어라운드율
[SET] 부클 브이 세트_2color",https://product.29cm.co.kr/catalog/3265099?colors=&categoryLargeCode=268100100&categoryMediumCode=268117100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/어라운드율/어라운드율SET_부클_브이_세트_2color5245100985_6.jpg,https://img.29cm.co.kr/item/202505/11f032361b2222848930195b86aea3ec.jpg?width=400&format=webp
여성 > 의류 > 셋업,1,"어썸스튜디오
[SET] 배색 카라 크롭 반팔 + 원턱 쇼츠 셋업 블랙
46%
51,840
쿠폰
4,599
4.7 (220)",어썸스튜디오,"어썸스튜디오
[SET] 배색 카라 크롭 반팔 + 원턱 쇼츠 셋업 블랙",https://product.29cm.co.kr/catalog/2121590?colors=&categoryLargeCode=268100100&categoryMediumCode=268117100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/어썸스튜디오/어썸스튜디오SET_배색_카라_크롭_반팔__원턱_쇼츠_셋업_블랙4651840쿠폰45994.7.jpg,https://img.29cm.co.kr/next-product/2023/06/20/3c96351d82ef45c799f8d0677da2760d_20230620181001.jpg?width=400&format=webp
여성 > 의류 > 셋업,1,"코드그라피
[SET] 아치 로고 반팔 크루넥 셋업_멜란지그레이
28%
59,900
무료배송
709
4.5 (98)",코드그라피,"코드그라피
[SET] 아치 로고 반팔 크루넥 셋업_멜란지그레이",https://product.29cm.co.kr/catalog/2540888?colors=&categoryLargeCode=268100100&categoryMediumCode=268117100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/코드그라피/코드그라피SET_아치_로고_반팔_크루넥_셋업_멜란지그레이2859900무료배송7094.5_9.jpg,https://img.29cm.co.kr/item/202405/11ef0c4ce543d449b9bbab42b8264368.jpg?width=400&format=webp
여성 > 의류 > 셋업,1,"오프닝선샤인
Puff sleeve cropped jacket_two-tuck wide pants set_Navy
15%
153,045
쿠폰
무료배송
1,384
4.5 (19)",오프닝선샤인,"오프닝선샤인
Puff sleeve cropped jacket_two-tuck wide pants set_Navy",https://product.29cm.co.kr/catalog/2612102?colors=&categoryLargeCode=268100100&categoryMediumCode=268117100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/오프닝선샤인/오프닝선샤인Puff_sleeve_cropped_jacket_two-tuck_wide_pan.jpg,https://img.29cm.co.kr/item/202404/11ef02c6c9dd7af493676961ddbdb9ae.jpg?width=400&format=webp
여성 > 의류 > 셋업,1,"퍼스텝
[패키지] 투 파인더 세트 6종 (후드집업 JUHD4453 + 트레이닝팬츠 JULP4442)
36%
69,400
무료배송
12,433
5 (406)",퍼스텝,"퍼스텝
[패키지] 투 파인더 세트 6종 (후드집업 JUHD4453 + 트레이닝팬츠 JULP4442)",https://product.29cm.co.kr/catalog/1294262?colors=&categoryLargeCode=268100100&categoryMediumCode=268117100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/퍼스텝/퍼스텝패키지_투_파인더_세트_6종_후드집업_JUHD4453__트레이닝팬츠_JULP44423.jpg,https://img.29cm.co.kr/next-product/2021/10/27/9b0140df1e8e46ada7f71fa9d1338462_20211027103002.jpg?width=400&format=webp
여성 > 의류 > 셋업,1,"어라운드율
[SET] 소프트 테리 홀터 세트_2color
5%
77,900
175
4 (1)",어라운드율,"어라운드율
[SET] 소프트 테리 홀터 세트_2color",https://product.29cm.co.kr/catalog/3265148?colors=&categoryLargeCode=268100100&categoryMediumCode=268117100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/어라운드율/어라운드율SET_소프트_테리_홀터_세트_2color5779001754_1.jpg,https://img.29cm.co.kr/item/202505/11f03129d9e467cc89305d85a319f32a.jpg?width=400&format=webp
여성 > 의류 > 셋업,1,"투머치택스
WOOD BEAD WAFFLE PANTS (BLUE)
100,000
126
5 (1)",투머치택스,"투머치택스
WOOD BEAD WAFFLE PANTS (BLUE)",https://product.29cm.co.kr/catalog/3298629?colors=&categoryLargeCode=268100100&categoryMediumCode=268117100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/투머치택스/투머치택스WOOD_BEAD_WAFFLE_PANTS_BLUE1000001265_1.jpg,https://img.29cm.co.kr/item/202505/11f03ad8542b5c5597759f333ea6102e.jpg?width=400&format=webp
