카테고리,페이지,상품명,브랜드,가격,링크,이미지 경로,이미지 URL
여성 > 의류 > 스커트,1,"튜드먼트
[뉴컬러 퍼플,그레이 추가, 4차 리오더] SATIN MINI SKIRT (5COL)
19%
88,018
쿠폰
무료배송
8,693
4.7 (253)",튜드먼트,"튜드먼트
[뉴컬러 퍼플,그레이 추가, 4차 리오더] SATIN MINI SKIRT (5COL)",https://product.29cm.co.kr/catalog/2615595?colors=&categoryLargeCode=268100100&categoryMediumCode=268107100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/튜드먼트/튜드먼트뉴컬러_퍼플그레이_추가_4차_리오더_SATIN_MINI_SKIRT_5COL19880.jpg,https://img.29cm.co.kr/item/202505/11f0344b13a35ca089306514aba48a20.jpg?width=400&format=webp
여성 > 의류 > 스커트,1,"텍토
[3rd_6/18 예약배송] Kenny check skirt_white
115,000
1,577
4.9 (10)",텍토,"텍토
[3rd_6/18 예약배송] Kenny check skirt_white",https://product.29cm.co.kr/catalog/3263590?colors=&categoryLargeCode=268100100&categoryMediumCode=268107100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/텍토/텍토3rd_618_예약배송_Kenny_check_skirt_white11500015774..jpg,https://img.29cm.co.kr/item/202505/11f03086da905ba489306304d9661eba.jpg?width=400&format=webp
여성 > 의류 > 스커트,1,"시야쥬
SIST9035 나일론 반밴딩 스커트_Black
24%
50,920
쿠폰
2,796
5 (84)",시야쥬,"시야쥬
SIST9035 나일론 반밴딩 스커트_Black",https://product.29cm.co.kr/catalog/2617756?colors=&categoryLargeCode=268100100&categoryMediumCode=268107100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/시야쥬/시야쥬SIST9035_나일론_반밴딩_스커트_Black2450920쿠폰27965_84.jpg,https://img.29cm.co.kr/item/202404/11ef061226546dedb9bb9bf0bc8ae5e6.jpg?width=400&format=webp
여성 > 의류 > 스커트,1,"코즈넉
리트 순면 플레어 롱 스커트 치마 봄 레이스
25%
30,700
6,268
4.7 (437)",코즈넉,"코즈넉
리트 순면 플레어 롱 스커트 치마 봄 레이스",https://product.29cm.co.kr/catalog/2490830?colors=&categoryLargeCode=268100100&categoryMediumCode=268107100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/코즈넉/코즈넉리트_순면_플레어_롱_스커트_치마_봄_레이스253070062684.7_437.jpg,https://img.29cm.co.kr/item/202402/11eed15ff7c316ccb2383b27f174334a.jpg?width=400&format=webp
여성 > 의류 > 스커트,1,"아르토
[4th] Satin Mini Skirt_Olive Green by Japanese Fabric
125,000
4,550
4.5 (115)",아르토,"아르토
[4th] Satin Mini Skirt_Olive Green by Japanese Fabric",https://product.29cm.co.kr/catalog/3054467?colors=&categoryLargeCode=268100100&categoryMediumCode=268107100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/아르토/아르토4th_Satin_Mini_Skirt_Olive_Green_by_Japanese_Fa.jpg,https://img.29cm.co.kr/item/202502/11efe9f1edad437c8f0ab972c4613107.jpg?width=400&format=webp
여성 > 의류 > 스커트,1,"시야쥬
SIST9035 나일론 반밴딩 스커트_Off-white
24%
50,920
쿠폰
1,820
4.8 (70)",시야쥬,"시야쥬
SIST9035 나일론 반밴딩 스커트_Off-white",https://product.29cm.co.kr/catalog/2617755?colors=&categoryLargeCode=268100100&categoryMediumCode=268107100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/시야쥬/시야쥬SIST9035_나일론_반밴딩_스커트_Off-white2450920쿠폰18204.8_.jpg,https://img.29cm.co.kr/item/202505/11f03d50cc3f6587bb06c92100b5710a.jpg?width=400&format=webp
여성 > 의류 > 스커트,1,"포 유어 아이즈 온리
[2차] Darin Shirring PantSkirt (2 Colors)
5%
100,700
1,970
5 (6)",포,"포 유어 아이즈 온리
[2차] Darin Shirring PantSkirt (2 Colors)",https://product.29cm.co.kr/catalog/3196896?colors=&categoryLargeCode=268100100&categoryMediumCode=268107100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/포/포_유어_아이즈_온리2차_Darin_Shirring_PantSkirt_2_Colors510.jpg,https://img.29cm.co.kr/item/202504/11f02002ed84c4c8b131a12b0618d791.jpg?width=400&format=webp
여성 > 의류 > 스커트,1,"베이지보울
soft banding maxi skirt (black) 2차
5%
60,800
407
5 (8)",베이지보울,"베이지보울
soft banding maxi skirt (black) 2차",https://product.29cm.co.kr/catalog/3252104?colors=&categoryLargeCode=268100100&categoryMediumCode=268107100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/베이지보울/베이지보울soft_banding_maxi_skirt_black_2차5608004075_8.jpg,https://img.29cm.co.kr/item/202505/11f0348fe6a8921a8930037e985f7920.jpg?width=400&format=webp
여성 > 의류 > 스커트,1,"모노하
Gingham check shirring skirt (brown)
228,000
480
4.6 (5)",모노하,"모노하
Gingham check shirring skirt (brown)",https://product.29cm.co.kr/catalog/3254915?colors=&categoryLargeCode=268100100&categoryMediumCode=268107100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/모노하/모노하Gingham_check_shirring_skirt_brown2280004804.6_.jpg,https://img.29cm.co.kr/item/202505/11f0315e6feec08fb17081472637822e.jpg?width=400&format=webp
여성 > 의류 > 스커트,1,"호쿠스포쿠스
Garden Veil Volume Skirt_White
129,000
무료배송
6,875
5 (69)",호쿠스포쿠스,"호쿠스포쿠스
Garden Veil Volume Skirt_White",https://product.29cm.co.kr/catalog/3088704?colors=&categoryLargeCode=268100100&categoryMediumCode=268107100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/호쿠스포쿠스/호쿠스포쿠스Garden_Veil_Volume_Skirt_White129000무료배송6875.jpg,https://img.29cm.co.kr/item/202502/11eff1e017220b3c8b638df10f110543.jpg?width=400&format=webp
