카테고리,페이지,상품명,브랜드,가격,링크,이미지 경로,이미지 URL
여성 > 의류 > 아우터,1,"어반디타입
[지현서 PICK] 에어 라이트 래글런 윈드브레이커_5color
29%
63,450
무료배송
22,646
4.8 (794)",어반디타입,"어반디타입
[지현서 PICK] 에어 라이트 래글런 윈드브레이커_5color",https://product.29cm.co.kr/catalog/2439676?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/어반디타입/어반디타입지현서_PICK_에어_라이트_래글런_윈드브레이커_5color2963450무료배송2.jpg,https://img.29cm.co.kr/item/202503/11eff8937f73059a8b6315d1ab6e7b24.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"어반디타입
[지현서 PICK] (우먼) 에어라이트 하이넥 윈드브레이커_4color
35%
57,850
무료배송
3,124
5 (134)",어반디타입,"어반디타입
[지현서 PICK] (우먼) 에어라이트 하이넥 윈드브레이커_4color",https://product.29cm.co.kr/catalog/3032565?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/어반디타입/어반디타입지현서_PICK_우먼_에어라이트_하이넥_윈드브레이커_4color3557850무료배.jpg,https://img.29cm.co.kr/item/202503/11eff8933386875daceab54bf1e236ee.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"하네
플라워 글로우 시어 점퍼_Flower
24%
91,200
쿠폰
1,920
4.6 (8)",하네,"하네
플라워 글로우 시어 점퍼_Flower",https://product.29cm.co.kr/catalog/3262574?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/하네/하네플라워_글로우_시어_점퍼_Flower2491200쿠폰19204.6_8.jpg,https://img.29cm.co.kr/item/202505/11f02c7a3397bdfa8930c7c8a2661ae3.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"플레이스 스튜디오
나그랑 라인 스트링 셔링 투웨이 후드 바람막이 긴팔 자켓 _ 2COLOR
30%
34,300
무료배송
456
0 (0)",플레이스,"플레이스 스튜디오
나그랑 라인 스트링 셔링 투웨이 후드 바람막이 긴팔 자켓 _ 2COLOR",https://product.29cm.co.kr/catalog/3259264?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/플레이스/플레이스_스튜디오나그랑_라인_스트링_셔링_투웨이_후드_바람막이_긴팔_자켓___2COLOR3.jpg,https://img.29cm.co.kr/item/202505/11f0271ccad29107b1700d28181fb7b8.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"던스트
HALF SLEEVE BELTED LINEN JACKET BLACK_UDJA5B226BK
10%
179,100
2,179
5 (23)",던스트,"던스트
HALF SLEEVE BELTED LINEN JACKET BLACK_UDJA5B226BK",https://product.29cm.co.kr/catalog/2573429?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/던스트/던스트HALF_SLEEVE_BELTED_LINEN_JACKET_BLACK_UDJA5B226.jpg,https://img.29cm.co.kr/item/202503/11f00ba9793e74518e7b3f313d89fa76.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"애프터아워즈
LIGHT SHIRRING WINDBREAKER (BEIGE-GREY)
10%
143,100
쿠폰
2,538
4.5 (21)",애프터아워즈,"애프터아워즈
LIGHT SHIRRING WINDBREAKER (BEIGE-GREY)",https://product.29cm.co.kr/catalog/2539991?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/애프터아워즈/애프터아워즈LIGHT_SHIRRING_WINDBREAKER_BEIGE-GREY1014310.jpg,https://img.29cm.co.kr/item/202503/11f003cd9835b203b9e6ab4339674642.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"랑거
nelly fringe short sleeve tweed jacket (4Color)
232,000
4,989
5 (90)",랑거,"랑거
nelly fringe short sleeve tweed jacket (4Color)",https://product.29cm.co.kr/catalog/3060523?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/랑거/랑거nelly_fringe_short_sleeve_tweed_jacket_4Color232.jpg,https://img.29cm.co.kr/item/202502/11efe5167186decc8521dd03419c4583.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"아디다스
에센셜 3S 우븐 윈드브레이커 - 화이트 / IC0560
99,000
무료배송
2,713
4.9 (101)",아디다스,"아디다스
에센셜 3S 우븐 윈드브레이커 - 화이트 / IC0560",https://product.29cm.co.kr/catalog/2675028?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/아디다스/아디다스에센셜_3S_우븐_윈드브레이커_-_화이트__IC056099000무료배송27134.9.jpg,https://img.29cm.co.kr/item/202407/11ef3dc91d0aeaaf89fb210bee51f76b.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"룩캐스트
[29CM 단독]칼리 프린지 트위드 자켓 / KALI FRINGE TWEED JACKET_2colors
20%
134,400
3,787
4.8 (60)",룩캐스트,"룩캐스트
[29CM 단독]칼리 프린지 트위드 자켓 / KALI FRINGE TWEED JACKET_2colors",https://product.29cm.co.kr/catalog/3200592?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/룩캐스트/룩캐스트29CM_단독칼리_프린지_트위드_자켓__KALI_FRINGE_TWEED_JACKET.jpg,https://img.29cm.co.kr/item/202505/11f02ae3c9d5a51a8930711c3559ad84.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"몽돌
크로쉐 썸머 니트 후드 집업 라이트그레이 MDCD040LGRAY
33%
48,600
쿠폰
무료배송
2,019
4.8 (22)",몽돌,"몽돌
크로쉐 썸머 니트 후드 집업 라이트그레이 MDCD040LGRAY",https://product.29cm.co.kr/catalog/3056790?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/몽돌/몽돌크로쉐_썸머_니트_후드_집업_라이트그레이_MDCD040LGRAY3348600쿠폰무료배송.jpg,https://img.29cm.co.kr/item/202503/11f003c63b4809c9b9e605124c870c8a.jpg?width=400&format=webp
