카테고리,페이지,상품명,브랜드,가격,링크,이미지 경로,이미지 URL
여성 > 의류 > 원피스,1,"포 유어 아이즈 온리
[3차] Tia Shirring Maxi Dress (Black)
124,000
4,084
4.7 (91)",포,"포 유어 아이즈 온리
[3차] Tia Shirring Maxi Dress (Black)",https://product.29cm.co.kr/catalog/3066628?colors=&categoryLargeCode=268100100&categoryMediumCode=268104100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/포/포_유어_아이즈_온리3차_Tia_Shirring_Maxi_Dress_Black1240004.jpg,https://img.29cm.co.kr/item/202502/11eff35e413322168b63f13a1dd09140.jpg?width=400&format=webp
여성 > 의류 > 원피스,1,"하네
[Reversible] 새틴 레이어드 미니 원피스_Navy-Check
28%
80,100
쿠폰
6,629
4.7 (78)",하네,"하네
[Reversible] 새틴 레이어드 미니 원피스_Navy-Check",https://product.29cm.co.kr/catalog/3145947?colors=&categoryLargeCode=268100100&categoryMediumCode=268104100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/하네/하네Reversible_새틴_레이어드_미니_원피스_Navy-Check2880100쿠폰662.jpg,https://img.29cm.co.kr/item/202504/11f01fec66ee2049b1707315f84977b1.jpg?width=400&format=webp
여성 > 의류 > 원피스,1,"라메레이
[29CM 단독/고민영,라사제스지혜 착용][5차 리오더]Square See-through Dress[LMBESPDR5806]-Black
24%
167,535
쿠폰
4,990
5 (10)",라메레이,"라메레이
[29CM 단독/고민영,라사제스지혜 착용][5차 리오더]Square See-through Dress[LMBESPDR5806]-Black",https://product.29cm.co.kr/catalog/3073267?colors=&categoryLargeCode=268100100&categoryMediumCode=268104100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/라메레이/라메레이29CM_단독고민영라사제스지혜_착용5차_리오더Square_See-through_Dr.jpeg,https://img.29cm.co.kr/item/202503/11f00d2498bea55fb9e6c3c16e2ba8b3.jpeg?width=400&format=webp
여성 > 의류 > 원피스,1,"오버듀플레어
COTTON BABY DOLL DRESS_BLACK
10%
143,100
1,015
5 (4)",오버듀플레어,"오버듀플레어
COTTON BABY DOLL DRESS_BLACK",https://product.29cm.co.kr/catalog/3295461?colors=&categoryLargeCode=268100100&categoryMediumCode=268104100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/오버듀플레어/오버듀플레어COTTON_BABY_DOLL_DRESS_BLACK1014310010155_4.jpg,https://img.29cm.co.kr/item/202505/11f03dc2e0514ea7977559c43736c660.jpg?width=400&format=webp
여성 > 의류 > 원피스,1,"론론
MILKY TIE SHIRRING SLEEVELESS DRESS WHITE
24%
83,600
쿠폰
무료배송
1,360
0 (0)",론론,"론론
MILKY TIE SHIRRING SLEEVELESS DRESS WHITE",https://product.29cm.co.kr/catalog/3291676?colors=&categoryLargeCode=268100100&categoryMediumCode=268104100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/론론/론론MILKY_TIE_SHIRRING_SLEEVELESS_DRESS_WHITE2483600.jpg,https://img.29cm.co.kr/item/202505/11f036dc8b13a241bb06e1bd9152a48d.jpg?width=400&format=webp
여성 > 의류 > 원피스,1,"시티브리즈
나일론 스트랩 리본 롱 원피스_3COLORS
37%
87,570
쿠폰
무료배송
8,797
4.8 (268)",시티브리즈,"시티브리즈
나일론 스트랩 리본 롱 원피스_3COLORS",https://product.29cm.co.kr/catalog/2581992?colors=&categoryLargeCode=268100100&categoryMediumCode=268104100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/시티브리즈/시티브리즈나일론_스트랩_리본_롱_원피스_3COLORS3787570쿠폰무료배송87974.8_.jpg,https://img.29cm.co.kr/item/202505/11f0344da98afe868930bb68006b44bf.jpg?width=400&format=webp
여성 > 의류 > 원피스,1,"루에브르
Double String Sleeveless Dress SW4MO716-9C
179,000
3,262
5 (25)",루에브르,"루에브르
Double String Sleeveless Dress SW4MO716-9C",https://product.29cm.co.kr/catalog/2670216?colors=&categoryLargeCode=268100100&categoryMediumCode=268104100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/루에브르/루에브르Double_String_Sleeveless_Dress_SW4MO716-9C1790.jpg,https://img.29cm.co.kr/item/202505/11f03b94217946a5bb067d7206f7c859.jpg?width=400&format=webp
여성 > 의류 > 원피스,1,"르니나
[노현주 착용] LILIANA puff sleeve embroidery dress_WHITE
218,000
1,918
5 (4)",르니나,"르니나
[노현주 착용] LILIANA puff sleeve embroidery dress_WHITE",https://product.29cm.co.kr/catalog/3225689?colors=&categoryLargeCode=268100100&categoryMediumCode=268104100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/르니나/르니나노현주_착용_LILIANA_puff_sleeve_embroidery_dress_WHI.jpg,https://img.29cm.co.kr/item/202505/11f0344c9d4f3d348930c580762ba882.jpg?width=400&format=webp
여성 > 의류 > 원피스,1,"드헤베
Dart Back Ribbon Dress [Black]
25%
78,750
1,387
4 (1)",드헤베,"드헤베
Dart Back Ribbon Dress [Black]",https://product.29cm.co.kr/catalog/3232640?colors=&categoryLargeCode=268100100&categoryMediumCode=268104100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/드헤베/드헤베Dart_Back_Ribbon_Dress_Black257875013874_1.jpg,https://img.29cm.co.kr/item/202504/11f01e8e34501c22b13163e131ace35e.jpg?width=400&format=webp
여성 > 의류 > 원피스,1,"오떼뜨
[알로하,신미림 착용] [9차] LUME LINEN VOLUME OPS_2COLOR
20%
134,400
6,752
5 (87)",오떼뜨,"오떼뜨
[알로하,신미림 착용] [9차] LUME LINEN VOLUME OPS_2COLOR",https://product.29cm.co.kr/catalog/2665559?colors=&categoryLargeCode=268100100&categoryMediumCode=268104100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/오떼뜨/오떼뜨알로하신미림_착용_9차_LUME_LINEN_VOLUME_OPS_2COLOR201344.jpg,https://img.29cm.co.kr/item/202505/11f02cb02bcdd091b17057f87e7e6f15.jpg?width=400&format=webp
